SampleID;Abramis brama;Apocorophium lacustre;Asellus aquaticus;Bathyporeia pilosa;Corophium volutator;Crangon;Cyathura carinata;Dicentrarchus labrax;Eurydice pulchra;Gammarus tigrinus;Gammarus zaddachi;Gasterosteus aculeatus;Incisocalliope aestuarius;Lekanesphaera rugicauda;Limnomysis benedeni;Liza ramada;Melita nitida;Mesopodopsis;Neomysis americana;Neomysis_int;Osmerus;Palaemon;Perca fluviatilis;Platichthys;Pomatoschistus;Pseudorasbora parva;Rhodeus amarus;Rutilus rutilus;Sander lucioperca;Syngnathus rostellatus;Synidotea laticauda
814;3;1;0;39;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
815;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;111;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0
818;0;0;0;20;4;0;1;1;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7
819;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;57;0;0;0;0;1;0;0;0;0;0;0
816;2;0;0;0;0;0;0;0;5;0;1;1;0;0;2;3;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0
866;0;0;0;25;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0
867;0;0;0;7;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;3;0;0;0;0;0;0;8;0;0;0;0
868;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
938;0;1;0;0;45;74;1;0;0;0;0;0;1;0;0;0;1;1;1;29;0;0;0;0;4;0;0;0;0;0;1
939;0;0;0;21;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
869;0;0;0;0;1;2;0;0;0;0;0;0;0;0;14;2;0;0;0;17;0;0;0;0;0;0;1;0;0;0;0
